Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Matches
297,Michael Halliday\6ad5f50e,us USA,DF,Orlando City,18,2003,4.2,4,0.94,3,0,0,0,1,0,1,0.24,0,0,0,0,1,0,Matches
298,Niko Hämäläinen\4435db1e,fi FIN,DF,LA Galaxy,23,1997,12.7,18,1.41,15,2,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
299,Ahmed Hamdi\fc7c8d3d,eg EGY,MF,CF Montréal,22,1998,9.9,26,2.63,22,0,0,2,1,1,2,0.20,2,0,0,0,0,0,Matches
300,Bill Hamid\012fc030,us USA,GK,D.C. United,30,1990,20.2,2,0.10,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
301,Niko Hansen\9bebd450,dk DEN,MFFW,Minnesota Utd,26,1994,5.0,13,2.61,10,0,1,1,1,0,2,0.40,2,0,0,0,0,0,Matches
302,Cameron Harper\4a78c769,us USA,FWDF,NY Red Bulls,19,2001,1.1,3,2.70,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
303,Nathan Harriel\b3edbeff,us USA,DF,Philadelphia,19,2001,2.0,5,2.50,4,0,0,0,1,0,1,0.50,1,0,0,0,0,0,Matches
304,Calvin Harris\07b0aeef,eng ENG,MFFW,FC Cincinnati,20,2000,5.0,7,1.39,5,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
305,Wilson Harris\ca0756aa,us USA,FW,Sporting KC,21,1999,2.0,5,2.53,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
306,Carlos Harvey\3f18600c,pa PAN,MF,LA Galaxy,20,2000,1.5,3,1.96,3,0,0,0,0,0,1,0.65,1,0,0,0,0,0,Matches
307,Jordan Harvey\bb78f8a5,us USA,DF,Los Angeles FC,37,1984,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
308,Thomas Hasal\86bac87b,ca CAN,GK,Vancouver,21,1999,7.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
309,Jacori Hayes\d2173b7b,us USA,MF,Minnesota Utd,25,1995,5.8,13,2.23,11,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
310,Héber\d552c4a1,br BRA,FW,NYCFC,29,1991,1.1,2,1.80,0,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
311,Matt Hedges\5e2a4d0e,us USA,DF,FC Dallas,30,1990,16.0,7,0.44,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
312,Fabian Herbers\5cbf5ccd,de GER,MFFW,Chicago Fire,27,1993,20.3,60,2.95,51,1,1,2,2,3,8,0.39,6,0,0,1,1,0,Matches
313,Felipe Hernandez\31a4d0b8,us USA,MF,Sporting KC,22,1998,4.5,17,3.76,11,0,1,3,0,2,3,0.66,3,0,0,0,0,0,Matches
314,Javier Hernández\189cee7b,mx MEX,FW,LA Galaxy,32,1988,19.2,49,2.55,34,0,1,2,10,2,7,0.36,5,0,0,1,1,0,Matches
315,Ronald Hernández\de907bab,ve VEN,DF,Atlanta Utd,23,1997,7.0,10,1.42,7,0,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches
316,Aaron Herrera\d86e3070,us USA,DF,Real Salt Lake,23,1997,27.9,82,2.94,65,6,5,1,2,3,15,0.54,13,1,0,0,0,1,Matches
317,Federico Higuaín\ef8fc24c,ar ARG,MFFW,Inter Miami,36,1984,9.0,42,4.67,29,10,0,0,1,2,6,0.67,3,1,0,0,1,1,Matches
318,Gonzalo Higuaín\8a08491a,ar ARG,FW,Inter Miami,33,1987,27.2,75,2.76,55,5,6,4,4,1,15,0.55,11,2,1,0,0,1,Matches
319,Brendan Hines-Ike\b807c1dc,us USA,DF,D.C. United,26,1994,11.7,7,0.60,4,0,1,2,0,0,2,0.17,0,0,0,2,0,0,Matches
320,Danny Hoesen\5ef1939b,nl NED,FW,Austin FC,30,1991,3.4,3,0.89,2,0,0,0,1,0,1,0.30,1,0,0,0,0,0,Matches
321,Ian Hoffmann\c0243229,de GER,DF,Houston Dynamo,19,2001,2.8,3,1.08,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
322,Ryan Hollingshead\28b58797,us USA,DF,FC Dallas,29,1991,29.6,67,2.26,50,2,6,2,2,5,7,0.24,4,0,1,0,0,2,Matches
323,Erik Holt\3677d047,us USA,DF,Real Salt Lake,24,1996,15.1,11,0.73,9,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
324,Adrien Hunou\d14229f3,fr FRA,FW,Minnesota Utd,27,1994,19.0,44,2.32,31,0,2,3,6,2,3,0.16,1,0,0,2,0,0,Matches
325,Erik Hurtado\b11e6f2b,us USA,FWMF,Columbus Crew,30,1990,3.3,3,0.92,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
326,Erik Hurtado\b11e6f2b,us USA,FW,CF Montréal,30,1990,3.2,15,4.70,13,0,2,0,0,0,1,0.31,1,0,0,0,0,0,Matches
327,Emerson Hyndman\3be1a627,us USA,MFFW,Atlanta Utd,24,1996,6.9,16,2.33,10,1,2,1,2,0,2,0.29,2,0,0,0,0,0,Matches
328,Franco Ibarra\db6540c5,ar ARG,MF,Atlanta Utd,19,2001,8.7,6,0.69,3,0,0,0,3,0,0,0.00,0,0,0,0,0,0,Matches
329,Sebastien Ibeagha\41ba8175,us USA,DF,Los Angeles FC,29,1992,7.4,3,0.41,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
330,Sebastien Ibeagha\41ba8175,us USA,DF,NYCFC,29,1992,3.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
331,Sunusi Ibrahim\796994e5,ng NGA,FW,CF Montréal,18,2002,10.2,18,1.77,10,0,5,0,2,1,0,0.00,0,0,0,0,0,0,Matches
332,Milan Iloski\4f87c75f,us USA,FW,Real Salt Lake,21,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
333,Ilsinho\aa8683ae,br BRA,DFMF,Philadelphia,35,1985,0.9,1,1.08,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
334,Arnór Ingvi Traustason\7d036b4a,is ISL,MFFW,New England,27,1993,16.1,35,2.17,28,2,1,2,2,0,8,0.50,5,2,0,0,1,0,Matches
335,Clint Irwin\c1205184,us USA,GK,Colorado Rapids,31,1989,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
336,Nicolas Isimat-Mirin\14e8e9d7,fr FRA,DF,Sporting KC,29,1991,10.5,3,0.28,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
337,Aljaž Ivačič\4d6e50d8,si SVN,GK,Portland Timbers,27,1993,4.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
338,Stanislav Ivanov\0cafba94,bg BUL,FW,Chicago Fire,21,1999,5.8,14,2.43,14,0,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches
339,Robin Jansson\8ca5c176,se SWE,DF,Orlando City,29,1991,26.9,16,0.59,14,1,1,0,0,0,1,0.04,1,0,0,0,0,0,Matches
340,Franco Jara\413cce14,ar ARG,FW,FC Dallas,32,1988,14.0,38,2.71,22,1,4,5,4,2,4,0.29,2,0,1,1,0,0,Matches
341,Andres Jasson\31d049b2,us USA,DFFW,NYCFC,19,2002,7.6,12,1.59,5,2,1,1,2,1,3,0.40,1,0,0,1,1,0,Matches
342,Cal Jennings\44f6672a,us USA,FW,Los Angeles FC,23,1997,1.4,2,1.40,0,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
343,Hector Jiménez\2dc1e90e,us USA,DF,Austin FC,32,1988,18.0,49,2.73,44,1,1,0,1,2,3,0.17,2,0,1,0,0,0,Matches
344,Bjørn Johnsen\02ee4c77,no NOR,FW,CF Montréal,29,1991,9.9,24,2.42,21,0,0,1,1,1,0,0.00,0,0,0,0,0,0,Matches
345,Sean Johnson\c164335e,us USA,GK,NYCFC,31,1989,29.0,1,0.03,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
346,Alistair Johnston\4fb17e20,ca CAN,DF,Nashville,22,1998,23.8,29,1.22,21,2,2,2,1,1,1,0.04,1,0,0,0,0,0,Matches
347,Ismaila Jome\26f559ba,us USA,DF,Portland Timbers,26,1994,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
348,DeJuan Jones\10d1139c,us USA,DF,New England,23,1997,28.3,73,2.58,58,4,8,1,1,1,7,0.25,6,0,0,0,1,0,Matches
349,Derrick Jones\93c92d6c,us USA,MF,Houston Dynamo,23,1997,12.5,13,1.04,11,1,0,1,0,0,3,0.24,2,0,0,1,0,0,Matches
350,Joevin Jones\fc23d956,tt TRI,DF,Inter Miami,29,1991,5.8,7,1.21,5,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
351,Jony\60665492,ar ARG,MFFW,Real Salt Lake,26,1994,9.9,35,3.54,30,0,1,3,0,1,6,0.61,6,0,0,0,0,0,Matches
352,Dejan Joveljić\95a24690,rs SRB,FW,LA Galaxy,21,1999,8.0,14,1.75,12,0,0,0,2,0,3,0.37,3,0,0,0,0,0,Matches
353,Judson\e1535f82,br BRA,MFDF,San Jose,27,1993,18.4,16,0.87,12,0,0,1,0,3,1,0.05,1,0,0,0,0,0,Matches
354,Anderson Julio\f907a6a8,ec ECU,FWMF,Real Salt Lake,24,1996,11.4,28,2.46,17,0,4,3,4,0,2,0.18,1,0,1,0,0,0,Matches
355,Florian Jungwirth\f179c207,de GER,DFMF,San Jose,32,1989,12.1,8,0.66,8,0,0,0,0,0,2,0.17,2,0,0,0,0,0,Matches
356,Florian Jungwirth\f179c207,de GER,DF,Vancouver,32,1989,12.5,5,0.40,3,0,0,1,0,1,1,0.08,1,0,0,0,0,0,Matches
357,Sam Junqua\91981d97,us USA,DF,Houston Dynamo,24,1996,17.9,18,1.00,15,1,1,1,0,0,1,0.06,1,0,0,0,0,0,Matches
358,Brent Kallman\2b24702b,us USA,DF,Minnesota Utd,30,1990,14.2,5,0.35,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
359,Ola Kamara\e134351a,no NOR,FW,D.C. United,31,1989,20.2,48,2.38,39,0,1,4,3,1,7,0.35,3,0,0,2,2,0,Matches
360,Alec Kann\4a8af93c,us USA,GK,Atlanta Utd,30,1990,5.0,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
361,Johan Kappelhof\465015a5,nl NED,DFMF,Chicago Fire,30,1990,13.6,8,0.59,7,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
362,Wilfrid Kaptoum\d717630e,cm CMR,MFFW,New England,24,1996,9.9,14,1.41,13,0,0,0,0,1,3,0.30,2,0,0,0,0,1,Matches
363,Mark-Anthony Kaye\36a38acd,ca CAN,MFFW,Colorado Rapids,26,1994,12.2,40,3.29,28,0,4,3,4,1,3,0.25,3,0,0,0,0,0,Matches
364,Mark-Anthony Kaye\36a38acd,ca CAN,MF,Los Angeles FC,26,1994,8.4,19,2.26,14,0,0,0,3,2,1,0.12,1,0,0,0,0,0,Matches
365,Aboubacar Keita\85fbf1e4,us USA,DF,Columbus Crew,20,2000,10.6,3,0.28,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
366,Jon Kempin\063adc5e,us USA,GK,D.C. United,27,1993,9.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
367,Henry Kessler\23c75879,us USA,DF,New England,22,1998,24.9,6,0.24,6,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
368,Logan Ketterer\927c3059,us USA,GK,Portland Timbers,27,1993,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
369,Benjamin Kikanovic\fe11d61b,us USA,FW,San Jose,21,2000,8.9,20,2.26,15,0,2,1,1,1,2,0.23,1,0,1,0,0,0,Matches
370,Gadi Kinda\d4a2f24c,il ISR,MFFW,Sporting KC,26,1994,22.6,81,3.59,56,6,5,3,7,4,15,0.67,12,0,0,1,2,0,Matches
371,Perry Kitchen\19ec49ee,us USA,MF,Columbus Crew,28,1992,2.3,3,1.32,1,0,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
372,Edward Kizza\2f2c0ab1,ug UGA,FW,New England,22,1998,2.9,3,1.02,2,0,1,0,0,0,1,0.34,1,0,0,0,0,0,Matches
373,Mustafa Kizza\4db20877,ug UGA,DF,CF Montréal,21,1999,7.3,19,2.59,14,1,1,2,0,1,3,0.41,2,1,0,0,0,0,Matches
374,Freddy Kleemann\e068bed0,us USA,DF,Austin FC,21,1999,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
375,Patryk Klimala\0bf3c11c,pl POL,FW,NY Red Bulls,22,1998,23.1,54,2.34,31,0,7,10,4,2,12,0.52,8,0,0,3,0,1,Matches
376,Jonathan Klinsmann\1e29552f,us USA,GK,LA Galaxy,23,1997,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
377,Sacha Kljestan\73682895,us USA,MFFW,LA Galaxy,35,1985,15.6,64,4.11,52,10,0,1,0,1,5,0.32,5,0,0,0,0,0,Matches
378,Brad Knighton\9903a3cb,us USA,GK,New England,35,1985,6.0,2,0.33,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
379,Žan Kolmanič\4501fd21,si SVN,DF,Austin FC,20,2000,23.4,64,2.74,39,22,1,0,2,0,4,0.17,3,1,0,0,0,0,Matches
380,Franko Kovačević\dbe0034f,hr CRO,FW,FC Cincinnati,21,1999,0.5,2,4.39,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
381,Damir Kreilach\068be155,hr CRO,MFFW,Real Salt Lake,31,1989,31.9,84,2.63,69,0,2,8,4,1,12,0.38,10,0,1,1,0,0,Matches
382,Yuya Kubo\cba16a46,jp JPN,MF,FC Cincinnati,27,1993,26.0,42,1.61,34,2,1,1,2,2,2,0.08,1,0,0,0,1,0,Matches
383,Matt LaGrassa\c9b098db,us USA,MF,Nashville,28,1993,4.1,8,1.94,5,0,1,1,0,1,1,0.24,0,0,0,1,0,0,Matches
384,Foster Langsdorf\48319bb3,us USA,FW,Minnesota Utd,25,1995,0.4,1,2.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
385,Lassi Lappalainen\bcb2282d,fi FIN,DFFW,CF Montréal,22,1998,6.2,13,2.09,8,1,1,2,0,1,2,0.32,1,0,0,1,0,0,Matches
386,Jesús David Murillo Largacha\68d48a71,co COL,DF,Los Angeles FC,26,1994,30.5,13,0.43,11,1,0,1,0,0,1,0.03,1,0,0,0,0,0,Matches
387,Oliver Larraz\ecdbe767,us USA,MFFW,Colorado Rapids,19,2001,0.3,2,7.50,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
388,Richie Laryea\276fdbe4,ca CAN,DFFW,Toronto FC,26,1995,25.5,41,1.61,28,0,4,4,4,1,5,0.20,2,0,1,2,0,0,Matches
389,Ariel Lassiter\bd7b916c,cr CRC,FWMF,Houston Dynamo,26,1994,6.0,11,1.82,6,1,0,2,2,0,0,0.00,0,0,0,0,0,0,Matches
390,Vuk Latinovich\5c0e047a,us USA,DF,NYCFC,23,1997,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
391,Kemar Lawrence\80be3efe,jm JAM,DF,Toronto FC,28,1992,21.3,15,0.70,12,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
392,Randall Leal\874a5031,cr CRC,MFFW,Nashville,24,1997,23.9,76,3.18,57,2,1,5,8,3,13,0.54,12,0,0,1,0,0,Matches
393,Kelvin Leerdam\d8b47705,sr SUR,DF,Inter Miami,30,1990,19.0,25,1.32,20,4,1,0,0,0,1,0.05,1,0,0,0,0,0,Matches
394,Nico Lemoine\8ccbbaf8,us USA,FW,Houston Dynamo,20,2000,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
395,Brooks Lennon\ec80ba72,us USA,DF,Atlanta Utd,23,1997,29.4,95,3.23,70,20,0,2,1,2,7,0.24,6,0,0,0,1,0,Matches
396,Jonathan Lewis\2501eb59,us USA,FWMF,Colorado Rapids,23,1997,14.5,46,3.17,25,0,14,5,1,1,5,0.35,1,0,0,3,1,0,Matches
397,Danny Leyva\ecc3a9c9,us USA,MF,Seattle,17,2003,9.7,15,1.55,10,2,0,1,2,0,2,0.21,1,0,0,0,1,0,Matches
398,Nick Lima\959686eb,us USA,DF,Austin FC,26,1994,22.2,35,1.58,25,4,6,0,0,0,3,0.14,3,0,0,0,0,0,Matches
399,Jaylin Lindsey\83cb6e59,us USA,DF,Sporting KC,20,2000,10.2,16,1.57,14,0,1,0,1,0,3,0.29,3,0,0,0,0,0,Matches
400,Sebastian Lletget\73019c31,us USA,MFFW,LA Galaxy,28,1992,20.3,63,3.10,48,11,1,0,3,0,6,0.30,5,1,0,0,0,0,Matches
401,Jürgen Locadia\6cc47ae1,nl NED,FWMF,FC Cincinnati,27,1993,4.0,18,4.45,8,1,2,4,3,0,0,0.00,0,0,0,0,0,0,Matches
402,Robin Lod\33c69aa0,fi FIN,FW,Minnesota Utd,27,1993,20.1,70,3.48,52,0,10,4,1,3,7,0.35,6,0,1,0,0,0,Matches
403,Nicolás Lodeiro\fe81d0d1,uy URU,MFFW,Seattle,31,1989,5.1,27,5.28,12,10,1,1,3,0,3,0.59,2,0,0,1,0,0,Matches
404,David Loera\0fae98f1,us USA,MF,Orlando City,22,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
405,Aaron Long\46b89640,us USA,DF,NY Red Bulls,28,1992,5.0,4,0.80,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
406,Erik López\af793b82,py PAR,FWMF,Atlanta Utd,19,2001,9.7,13,1.35,10,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
407,Lisandro López\bc55bb5a,ar ARG,FW,Atlanta Utd,37,1983,1.6,3,1.93,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
408,Marcos López\9b3ab988,pe PER,DF,San Jose,21,1999,15.7,27,1.72,20,2,0,2,3,0,4,0.26,3,1,0,0,0,0,Matches
409,Marvin Loría\71380d87,cr CRC,FWMF,Portland Timbers,23,1997,12.3,34,2.76,23,8,2,0,1,0,7,0.57,7,0,0,0,0,0,Matches
410,Daniel Lovitz\db97d838,us USA,DF,Nashville,29,1991,25.6,75,2.93,44,29,1,0,1,0,9,0.35,8,0,0,0,1,0,Matches
411,Everton Luiz\3799e138,br BRA,MF,Real Salt Lake,32,1988,18.4,23,1.25,16,2,0,1,3,1,2,0.11,2,0,0,0,0,0,Matches
412,Adam Lundqvist\91769a24,se SWE,DF,Houston Dynamo,26,1994,21.6,25,1.16,19,4,0,0,1,1,3,0.14,3,0,0,0,0,0,Matches
413,Larrys Mabiala\5bdec47f,cd COD,DF,Portland Timbers,33,1987,20.4,9,0.44,9,0,0,0,0,0,2,0.10,2,0,0,0,0,0,Matches
414,Aimé Mabika\3a37d349,zm ZAM,DF,Inter Miami,22,1998,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
415,Maciel\a39d51e0,br BRA,MF,New England,21,2000,13.8,22,1.59,20,0,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
416,Emanuel Maciel\934fdf16,ar ARG,MF,CF Montréal,23,1997,9.8,13,1.33,12,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
417,Zac MacMath\06caac45,us USA,GK,Real Salt Lake,29,1991,6.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
418,Christian Mafla\f379bc1e,co COL,DF,New England,28,1993,5.7,9,1.57,7,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
419,Talles Magno\64c98878,br BRA,FWMF,NYCFC,18,2002,5.0,17,3.40,13,0,2,0,2,0,2,0.40,1,0,0,0,1,0,Matches
420,Jack Maher\0c6f2fa6,us USA,DF,Nashville,21,1999,17.1,9,0.53,7,0,0,1,0,1,3,0.18,2,0,0,0,0,1,Matches
421,Christian Makoun\7efffe65,ve VEN,DF,Inter Miami,20,2000,22.5,13,0.58,9,0,2,1,1,0,3,0.13,2,0,0,0,1,0,Matches
422,Machop Malual\1701b012,ss SSD,FW,Atlanta Utd,22,1998,4.7,7,1.48,6,1,0,0,0,0,1,0.21,1,0,0,0,0,0,Matches
423,Kekuta Manneh\4d735ad6,us USA,FWMF,Austin FC,26,1994,3.8,12,3.14,10,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
424,J.T. Marcinkowski\977791f4,us USA,GK,San Jose,23,1997,33.0,7,0.21,7,0,0,0,0,0,2,0.06,2,0,0,0,0,0,Matches
425,Marko Marić\b57454c7,hr CRO,GK,Houston Dynamo,25,1996,22.0,1,0.05,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
426,Paul Marie\da0bb55a,fr FRA,DF,San Jose,25,1995,11.1,31,2.78,23,1,4,1,2,0,1,0.09,1,0,0,0,0,0,Matches
427,Jahkeele Marshall-Rutty\b9459f85,ca CAN,FWDF,Toronto FC,16,2004,4.7,8,1.69,6,1,0,0,1,0,1,0.21,1,0,0,0,0,0,Matches
428,Nick Marsman\f352799f,nl NED,GK,Inter Miami,30,1990,21.3,1,0.05,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
429,Douglas Martinez\3e7ebb9a,hn HON,FW,Real Salt Lake,23,1997,0.6,1,1.64,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
430,Josef Martínez\e73f0aa1,ve VEN,FW,Atlanta Utd,27,1993,18.2,41,2.25,33,0,2,4,1,1,2,0.11,1,0,0,0,1,0,Matches
431,Luís Martins\56b7c09b,pt POR,DF,Sporting KC,28,1992,32.8,51,1.55,47,2,1,0,1,0,7,0.21,7,0,0,0,0,0,Matches
432,Emmanuel Más\b9385e1f,ar ARG,DF,Orlando City,32,1989,7.6,13,1.71,12,0,0,0,0,1,1,0.13,1,0,0,0,0,0,Matches
433,Alexandru Mățan\3bd3bcc4,ro ROU,FWMF,Columbus Crew,21,1999,8.9,25,2.81,13,2,2,6,2,0,1,0.11,0,0,0,1,0,0,Matches
434,Rónald Matarrita\491862dd,cr CRC,DF,FC Cincinnati,26,1994,21.8,40,1.83,30,5,1,3,0,1,4,0.18,3,1,0,0,0,0,Matches
435,Blaise Matuidi\c0cddebe,fr FRA,MF,Inter Miami,33,1987,25.4,25,0.99,20,0,0,0,1,4,1,0.04,1,0,0,0,0,0,Matches
436,Jimmy Maurer\ca1c6f3d,us USA,GK,FC Dallas,32,1988,23.7,2,0.08,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
437,José Mauri\644faf10,it ITA,MF,Sporting KC,24,1996,6.7,4,0.60,4,0,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches
438,Chris Mavinga\fda36cfb,cd COD,DF,Toronto FC,29,1991,18.6,5,0.27,5,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
439,Olivier Mbaizo\f6315619,cm CMR,DF,Philadelphia,23,1997,27.6,60,2.17,51,4,3,1,0,1,5,0.18,3,1,0,1,0,0,Matches
440,John McCarthy\249362e9,us USA,GK,Inter Miami,28,1992,12.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
441,Dax McCarty\b74e58c0,us USA,MF,Nashville,33,1987,22.9,42,1.83,39,1,0,1,0,1,3,0.13,3,0,0,0,0,0,Matches
442,Jack McGlynn\e2b8c25c,us USA,MF,Philadelphia,17,2003,7.1,24,3.39,18,5,0,1,0,0,2,0.28,2,0,0,0,0,0,Matches
443,Zac McGraw\83129dc7,us USA,DF,Portland Timbers,23,1997,3.1,1,0.32,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
444,Justin McMaster\7256a113,jm JAM,FWMF,Minnesota Utd,21,1999,1.5,7,4.70,5,0,0,0,1,1,1,0.67,1,0,0,0,0,0,Matches
445,Thomas McNamara\ab36595d,us USA,MF,New England,29,1991,21.9,44,2.01,38,2,0,2,1,1,7,0.32,6,0,0,1,0,0,Matches
